id,type,category,meaning
000,glyph,number,1
001,glyph,number,2
002,glyph,number,3
003,glyph,number,4
004,glyph,number,5
005,glyph,number,6
006,glyph,number,7
007,glyph,number,8
008,glyph,number,9
009,glyph,number,0
010,glyph,mathematics,plus
011,glyph,mathematics,minus
012,glyph,mathematics,multiplication
013,glyph,mathematics,division
014,glyph,mathematics,equal
015,glyph,mathematics,undetermined
016,glyph,mathematics,negation
017,glyph,mathematics,pi
018,glyph,mathematics,union
019,glyph,mathematics,dot
020,glyph,mathematics,delta
021,glyph,mathematics,math
022,glyph,mathematics,radius
023,glyph,units,kilogram
024,glyph,units,meter
025,glyph,units,second
026,glyph,units,newton
027,glyph,units,joule
028,glyph,units,pascal
029,glyph,units,watt
030,glyph,units,hertz
031,glyph,units,kelvin
032,glyph,units,year
033,glyph,chemical-elements,hydrogen
034,glyph,chemical-elements,helium
035,glyph,chemical-elements,carbon
036,glyph,chemical-elements,nitrogen
037,glyph,chemical-elements,oxygen
038,glyph,chemical-elements,aluminum
039,glyph,chemical-elements,silicium
040,glyph,chemical-elements,iron
041,glyph,chemical-elements,sodium
042,glyph,chemical-elements,chlorine
043,glyph,chemical-elements,argon
044,glyph,chemical-elements,e112
045,glyph,chemical-elements,gold
046,glyph,chemical-elements,silver
047,glyph,chemical-elements,sulfur
048,glyph,chemical-elements,uranium
049,glyph,chemical-elements,zinc
050,glyph,physical-concepts,proton
051,glyph,physical-concepts,neutron
052,glyph,physical-concepts,electron
053,glyph,physical-concepts,mass
054,glyph,physical-concepts,wavelength
055,glyph,physical-concepts,time
056,glyph,physical-concepts,frequency
057,glyph,physical-concepts,velocity
058,glyph,physical-concepts,force
059,glyph,physical-concepts,energy
060,glyph,physical-concepts,pressure
061,glyph,physical-concepts,power
062,glyph,physical-concepts,Planck-constant
063,glyph,physical-concepts,g-constant
064,glyph,physical-concepts,distance
065,glyph,physical-concepts,Hubble-constant
066,glyph,physical-concepts,density
067,glyph,physical-concepts,cosmological-constant
068,glyph,physical-concepts,acceleration
069,glyph,physical-concepts,charge
070,glyph,physical-concepts,length
071,glyph,physical-concepts,physics
072,glyph,physical-concepts,photon
073,glyph,physical-concepts,temperature
074,glyph,biological,thymidine
075,glyph,biological,adenosine
076,glyph,biological,cytidine
077,glyph,biological,guanosine
078,glyph,biological,cell
079,glyph,biological,biology
080,glyph,biological,male
081,glyph,biological,female
082,glyph,biological,people
083,glyph,astronomy,Jupiter
084,glyph,astronomy,Earth
085,glyph,astronomy,Moon
086,glyph,astronomy,Sun
087,glyph,astronomy,Mars
088,glyph,astronomy,Mercury
089,glyph,astronomy,Neptune
090,glyph,astronomy,Pluto
091,glyph,astronomy,Saturn
092,glyph,astronomy,universe
093,glyph,astronomy,Uranus
094,glyph,astronomy,Venus
095,glyph,others,etc.
096,glyph,others,question
097,glyph,others,land
098,glyph,others,ocean
099,glyph,others,sky
100,glyph,others,target
101,glyph,others,age
102,glyph,others,variable-a
103,glyph,others,variable-b
104,glyph,others,variable-c
105,image,page,numbers
106,image,page,operators
107,image,page,exponents
108,image,page,variables-and-questions
109,image,page,geometry
110,image,page,chemical-elements
111,image,page,mass
112,image,page,hydrogen
113,image,page,units-of-measurement
114,image,page,temperature
115,image,page,solar-system
116,image,page,earth-part-1
117,image,page,earth-part-2
118,image,page,earth-part-3
119,image,page,humans-part-1
120,image,page,humans-part-2
121,image,page,DNA-part-1
122,image,page,DNA-part-2
123,image,page,land-part-1
124,image,page,land-part-2
125,image,page,radiotelescope
126,image,page,cosmology
127,image,page,questions
